id,text,screen_name,time
727184766651396097,"""Android already commands over 80% of the mobile OS market share globally, and just under 60% in the US"" $GOOG https://t.co/NMYh6HOldf",Hipster_Trader,Mon May 02 17:15:33 +0000 2016
727184620219850752,Durov commented on the reports about #Google's plans to buy Telegram. Read more: https://t.co/8ayksZblAw $GOOG,It_c0nsulting,Mon May 02 17:14:58 +0000 2016
727184464904777728,#Google names new Australian boss. Read more: https://t.co/rEYuTDnSvc $GOOG,It_c0nsulting,Mon May 02 17:14:21 +0000 2016
727184154480103425,#Google Hosts Diversity-Focused Mass Innovation Nights. Read more: https://t.co/k8XibGQ8Lu $GOOG,It_c0nsulting,Mon May 02 17:13:07 +0000 2016
727183992902930432,"Viral Video on how to invest like WARREN BUFFETT! https://t.co/TAwkccuMj8
$AAPL $GOOG $AMZN $WMT $DOW $DD $MCD $F $GM $GE $JNJ $PG $KMB $IBM",toptrader2015,Mon May 02 17:12:28 +0000 2016
727183746772914176,"Review Our Trade History:#stocks #stockmarket #Options $SPY $AAPL $AMZN $GOOG $TSLA $USO , https://t.co/6s2yqToHfQ https://t.co/vkI2wFPz3g",AmgTrading_,Mon May 02 17:11:30 +0000 2016
727182446047830016,Is #Google working on an augmented reality lens?. Read more: https://t.co/7gFFpWM6f6 $GOOG,It_c0nsulting,Mon May 02 17:06:20 +0000 2016
727181980614320128,NewFronts 2016: Annual Blitz Kicks Off With Vox-#Google News. Read more: https://t.co/HhixKIbwzs $GOOG,It_c0nsulting,Mon May 02 17:04:29 +0000 2016
727180582564716545,#Google files patent for eyeball device that uses 'energy harvesting antenna' . Read more: https://t.co/SNyyMYbrad $GOOG,It_c0nsulting,Mon May 02 16:58:55 +0000 2016
727180318793322497,Commented on Baidu: Still Spending And Still Cheap https://t.co/2pXjdhoSxq $CTRP $GOOG $GOOGL $BIDU,Stonefoxcapital,Mon May 02 16:57:53 +0000 2016
727179029732712448,"#Google, Fiat Chrysler Reportedly Working on Self-Driving Car Deal. Read more: https://t.co/eDEOcALloa $GOOG",It_c0nsulting,Mon May 02 16:52:45 +0000 2016
727178703151730688,$AVXL P&amp;D $200K promo campaign due for a 90%+ drop. GI's last call $GBSN is down 99.96% in a year https://t.co/LLzZfYUOHj $GOOG $RAD $OPK,StockTradePicks,Mon May 02 16:51:27 +0000 2016
727178563946876929,How #Google Made Chromecast Cool. Read more: https://t.co/TgYAwi07vw $GOOG,It_c0nsulting,Mon May 02 16:50:54 +0000 2016
727178164141576192,"Google is running out of time to fix this one glaring problem $GOOG $GOOGL $FB https://t.co/zr32LjClP5 https://t.co/fWCHhre3l3""",HIHTWorld_,Mon May 02 16:49:19 +0000 2016
727177943030452224,Huntsville crews begin installing #Google fiber cable . Read more: https://t.co/c8mt39vOU9 $GOOG,It_c0nsulting,Mon May 02 16:48:26 +0000 2016
727177774402789377,$PNYTF backed $GOOG Ventures! CEO started G Wallet  https://t.co/Lv1hyWtd08 @realsheepwolf @teacuppiglets @Bullish_or_Bust @Bullish_Pennies,Vegas_Whoa,Mon May 02 16:47:46 +0000 2016
727177695935647744,Apple Campus 2: The Must-See Drone Flyover:  https://t.co/SqXX9ob3wX $AAPL $GOOG $PCLN $K,Stockology101,Mon May 02 16:47:27 +0000 2016
727177551634780161,Too Late To Buy Facebook? https://t.co/EFZL0mvwm0 $GOOG #GOOGLE $TWTR $FB,SAlphaTech,Mon May 02 16:46:53 +0000 2016
727175552205869057,The Wearables Revolution: Alphabet Is Developing A Wide Range Of Wearables Products https://t.co/eVrGVhu89C $AAPL $FIT $GPRO $FB $GOOG,charles_lloyd,Mon May 02 16:38:56 +0000 2016
727174938600312832,$PNYTF backed by $GOOG Ventures! CEO started Google Wallet  https://t.co/Lv1hyWtd08 @OTCBBpinksheets @OTCMarkets @bestdamnpennies,Vegas_Whoa,Mon May 02 16:36:30 +0000 2016
727173956499808256,$amzn is close to catching $goog pricewise,jonasQuinn23,Mon May 02 16:32:36 +0000 2016
727173793374986240,"For VR/AR, believe the hype, not the timing. And uncover $FB &amp; $GOOG's inevitable bait&amp;switch @sawickipedia https://t.co/h7fbEJnmBf",rafer,Mon May 02 16:31:57 +0000 2016
727172509515173888,"#Google is running out of time to fix this one glaring problem (, GOOGL, FB). Read more: https://t.co/Uwd4aUzX28 $GOOG",It_c0nsulting,Mon May 02 16:26:51 +0000 2016
727172131872735232,$PNYTF backed by $GOOG Ventures! CEO started Google Wallet  https://t.co/Lv1hyWtd08 @stocktwits @007stockchat @pennysfordummys,Vegas_Whoa,Mon May 02 16:25:21 +0000 2016
727171553943638018,Adjust your timeframe and stock #market risk evaporates https://t.co/QH4NUMS2Jd $AAPL $GOOG https://t.co/HPtamphyJt,ZagaInvestment,Mon May 02 16:23:03 +0000 2016
727170955932393473,"#Google Doodle Celebrates 100th Birthday Of Claude Shannon, Father Of Information Theory. Read more: https://t.co/2Jv6QOZi33 $GOOG",It_c0nsulting,Mon May 02 16:20:40 +0000 2016
727170335561256960,"#Google CEO envisions AI dominated, deviceless future. Read more: https://t.co/IITxQmZdZo $GOOG",It_c0nsulting,Mon May 02 16:18:12 +0000 2016
727170335305404416,"#Google, #Facebook janitors scheduled for Monday strike vote https://t.co/3Rjww2rBcP $FB $GOOG @seiuusww https://t.co/oUeyxBUqxj",rileymcd,Mon May 02 16:18:12 +0000 2016
727170335288623104,"#Google, #Facebook janitors scheduled for Monday strike vote https://t.co/19PjuIbi4S $FB $GOOG @seiuusww https://t.co/oTLc2kVMei",SBTRileyMcD,Mon May 02 16:18:12 +0000 2016
727170335284453376,"#Google, #Facebook janitors scheduled for Monday strike vote https://t.co/2HMwCCxM8Z $FB $GOOG @seiuusww https://t.co/D4yAsHgmhM",SFBusinessTimes,Mon May 02 16:18:12 +0000 2016
727169547766272004,Google's Deep Mind AI explained: https://t.co/AeKTro2peF $GOOG $GOOGL,mnycx,Mon May 02 16:15:05 +0000 2016
727169296187576320,"GOOG Dividend
See Here ---&gt; https://t.co/aSujaMncqn

$GOOG $VPG $NK #pennystocks",stockpickerof21,Mon May 02 16:14:05 +0000 2016
727168936911900672,EU accusation against #Google misses messy Android reality. Read more: https://t.co/hVBw7J3bDl $GOOG,It_c0nsulting,Mon May 02 16:12:39 +0000 2016
727168427912249344,The #Innovator and The Hoarder: $GOOG vs. $YHOO &amp; Lessons for your Business https://t.co/NZpPsNdkDy,Bridgesphere,Mon May 02 16:10:38 +0000 2016
727167933634383872,Baidu: Still Spending And Still Cheap https://t.co/YXzJfIeSHU $CTRP $GOOG $GOOGL $BIDU,SAlphaTech,Mon May 02 16:08:40 +0000 2016
727167849853145089,"Stepes has a 50,000-strong translator army to give #Google Translate a run for its money. Read more: https://t.co/Cnb5vLno8v $GOOG",It_c0nsulting,Mon May 02 16:08:20 +0000 2016
727166279426121728,The #Innovator and The #Hoarder: $GOOG vs. $YHOO &amp; Lessons for your #Business https://t.co/NZpPsNdkDy,Bridgesphere,Mon May 02 16:02:05 +0000 2016
727165674640961537,#Google seems to be preparing to migration Search Console to new URLs. Read more: https://t.co/ytBUaZQ4IM $GOOG,It_c0nsulting,Mon May 02 15:59:41 +0000 2016
727165518726074368,Fraudsters Go Phishing In #Google Play. Read more: https://t.co/wCrKxvVnDt $GOOG,It_c0nsulting,Mon May 02 15:59:04 +0000 2016
